dataset,model,seed,training_labels,training_anomalies,n_deploy,auroc,average_precision,n,fdp,power,true_discoveries
amazon,hgb_attributes,3,864,76,7775,0.9722667952304124,0.9078420428363194,800,0.195,0.8644295302013423,644
amazon,hgb_attributes,3,864,76,7775,0.9722667952304124,0.9078420428363194,1555,0.554983922829582,0.9288590604026845,692
amazon,hgb_attributes,3,864,76,7775,0.9722667952304124,0.9078420428363194,1600,0.565625,0.9328859060402684,695
amazon,hgb_graph_features,3,864,76,7775,0.9781082990443641,0.9096093151279986,25,0.0,0.03355704697986577,25
amazon,hgb_graph_features,3,864,76,7775,0.9781082990443641,0.9096093151279986,50,0.02,0.06577181208053691,49
amazon,hgb_graph_features,3,864,76,7775,0.9781082990443641,0.9096093151279986,100,0.01,0.13288590604026845,99
amazon,hgb_graph_features,3,864,76,7775,0.9781082990443641,0.9096093151279986,200,0.01,0.2657718120805369,198
amazon,hgb_graph_features,3,864,76,7775,0.9781082990443641,0.9096093151279986,400,0.02,0.5261744966442953,392
amazon,hgb_graph_features,3,864,76,7775,0.9781082990443641,0.9096093151279986,800,0.19625,0.8630872483221477,643
amazon,hgb_graph_features,3,864,76,7775,0.9781082990443641,0.9096093151279986,1555,0.5453376205787781,0.9489932885906041,707
amazon,hgb_graph_features,3,864,76,7775,0.9781082990443641,0.9096093151279986,1600,0.5575,0.9503355704697987,708
amazon,hgb_attributes,4,864,87,7775,0.9662150107950822,0.8827570760146092,25,0.0,0.0340599455040872,25
amazon,hgb_attributes,4,864,87,7775,0.9662150107950822,0.8827570760146092,50,0.02,0.0667574931880109,49
amazon,hgb_attributes,4,864,87,7775,0.9662150107950822,0.8827570760146092,100,0.01,0.13487738419618528,99
amazon,hgb_attributes,4,864,87,7775,0.9662150107950822,0.8827570760146092,200,0.005,0.27111716621253407,199
amazon,hgb_attributes,4,864,87,7775,0.9662150107950822,0.8827570760146092,400,0.02,0.5340599455040872,392
amazon,hgb_attributes,4,864,87,7775,0.9662150107950822,0.8827570760146092,800,0.24125,0.8269754768392371,607
amazon,hgb_attributes,4,864,87,7775,0.9662150107950822,0.8827570760146092,1555,0.5652733118971061,0.9209809264305178,676
amazon,hgb_attributes,4,864,87,7775,0.9662150107950822,0.8827570760146092,1600,0.57625,0.9237057220708447,678
amazon,hgb_graph_features,4,864,87,7775,0.9609889061615366,0.8816738753215908,25,0.0,0.0340599455040872,25
amazon,hgb_graph_features,4,864,87,7775,0.9609889061615366,0.8816738753215908,50,0.0,0.0681198910081744,50
amazon,hgb_graph_features,4,864,87,7775,0.9609889061615366,0.8816738753215908,100,0.01,0.13487738419618528,99
amazon,hgb_graph_features,4,864,87,7775,0.9609889061615366,0.8816738753215908,200,0.01,0.26975476839237056,198
amazon,hgb_graph_features,4,864,87,7775,0.9609889061615366,0.8816738753215908,400,0.025,0.5313351498637602,390
amazon,hgb_graph_features,4,864,87,7775,0.9609889061615366,0.8816738753215908,800,0.23125,0.837874659400545,615
amazon,hgb_graph_features,4,864,87,7775,0.9609889061615366,0.8816738753215908,1555,0.5684887459807074,0.9141689373297003,671
amazon,hgb_graph_features,4,864,87,7775,0.9609889061615366,0.8816738753215908,1600,0.579375,0.9168937329700273,673
amazon,hgb_attributes,5,864,79,7775,0.9720649820656796,0.9017018655442334,25,0.0,0.03369272237196765,25
amazon,hgb_attributes,5,864,79,7775,0.9720649820656796,0.9017018655442334,50,0.0,0.0673854447439353,50
amazon,hgb_attributes,5,864,79,7775,0.9720649820656796,0.9017018655442334,100,0.02,0.1320754716981132,98
amazon,hgb_attributes,5,864,79,7775,0.9720649820656796,0.9017018655442334,200,0.02,0.2641509433962264,196
amazon,hgb_attributes,5,864,79,7775,0.9720649820656796,0.9017018655442334,400,0.0225,0.5269541778975741,391
amazon,hgb_attributes,5,864,79,7775,0.9720649820656796,0.9017018655442334,800,0.2,0.862533692722372,640
amazon,hgb_attributes,5,864,79,7775,0.9720649820656796,0.9017018655442334,1555,0.5504823151125402,0.9420485175202157,699
amazon,hgb_attributes,5,864,79,7775,0.9720649820656796,0.9017018655442334,1600,0.561875,0.944743935309973,701
amazon,hgb_graph_features,5,864,79,7775,0.9733367110690725,0.8957994423417018,25,0.04,0.03234501347708895,24
amazon,hgb_graph_features,5,864,79,7775,0.9733367110690725,0.8957994423417018,50,0.02,0.0660377358490566,49
amazon,hgb_graph_features,5,864,79,7775,0.9733367110690725,0.8957994423417018,100,0.02,0.1320754716981132,98
