dataset,model,label_fraction,removed,method,seed,fdp,power,discoveries,nonempty,n_calib,pool_size
amazon,hgb_attributes,0.5,0.0,exposure,9,0.07464607447012267,0.7967741935483871,160.6,1.0,2648.8,2648.8
amazon,hgb_attributes,0.5,0.0,random,0,0.10337191605400473,0.7805405405405406,161.6,1.0,2661.0,2661.0
amazon,hgb_attributes,0.5,0.0,random,1,0.10141835607413582,0.7846994535519126,160.0,1.0,2653.2,2653.2
amazon,hgb_attributes,0.5,0.0,random,2,0.10765658873803534,0.7650273224043717,157.0,1.0,2627.0,2627.0
amazon,hgb_attributes,0.5,0.0,random,3,0.06794283086307759,0.810752688172043,162.8,1.0,2648.0,2648.0
amazon,hgb_attributes,0.5,0.0,random,4,0.07134024841837609,0.7554347826086956,149.8,1.0,2661.0,2661.0
amazon,hgb_attributes,0.5,0.0,random,5,0.07390820122605543,0.7666666666666667,154.0,1.0,2654.4,2654.4
amazon,hgb_attributes,0.5,0.0,random,6,0.08085161329191064,0.7574468085106384,155.0,1.0,2632.4,2632.4
amazon,hgb_attributes,0.5,0.0,random,7,0.10439552681046174,0.7967914438502673,166.4,1.0,2616.4,2616.4
amazon,hgb_attributes,0.5,0.0,random,8,0.10005091722115922,0.7794594594594595,160.4,1.0,2637.6,2637.6
amazon,hgb_attributes,0.5,0.0,random,9,0.07464607447012267,0.7967741935483871,160.6,1.0,2648.8,2648.8
amazon,hgb_attributes,0.5,0.05,exposure,0,0.11445428368018437,0.7881081081081082,165.2,1.0,2528.6,2661.0
amazon,hgb_attributes,0.5,0.05,exposure,1,0.10614459237447145,0.7879781420765027,161.6,1.0,2521.0,2653.2
amazon,hgb_attributes,0.5,0.05,exposure,2,0.11074352361803189,0.7683060109289618,158.2,1.0,2496.4,2627.0
amazon,hgb_attributes,0.5,0.05,exposure,3,0.08847460862909427,0.8301075268817204,170.0,1.0,2515.8,2648.0
amazon,hgb_attributes,0.5,0.05,exposure,4,0.07776046183054117,0.7576086956521738,151.2,1.0,2528.4,2661.0
amazon,hgb_attributes,0.5,0.05,exposure,5,0.08237453737080824,0.7774193548387096,157.6,1.0,2522.2,2654.4
amazon,hgb_attributes,0.5,0.05,exposure,6,0.08521194629890282,0.7595744680851064,156.2,1.0,2501.0,2632.4
amazon,hgb_attributes,0.5,0.05,exposure,7,0.11182027610015419,0.8042780748663102,169.4,1.0,2486.0,2616.4
amazon,hgb_attributes,0.5,0.05,exposure,8,0.10118047914874644,0.7805405405405406,160.8,1.0,2506.0,2637.6
amazon,hgb_attributes,0.5,0.05,exposure,9,0.08394514910189442,0.7978494623655914,162.4,1.0,2516.8,2648.8
amazon,hgb_attributes,0.5,0.05,random,0,0.10247482274219688,0.7758054054054055,160.44,1.0,2528.6,2661.0
amazon,hgb_attributes,0.5,0.05,random,1,0.10235620207721144,0.7834754098360656,159.92,1.0,2521.0,2653.2
amazon,hgb_attributes,0.5,0.05,random,2,0.10767481674349946,0.7653333333333334,157.05599999999998,1.0,2496.4,2627.0
amazon,hgb_attributes,0.5,0.05,random,3,0.07069401340755764,0.812516129032258,163.592,1.0,2515.8,2648.0
amazon,hgb_attributes,0.5,0.05,random,4,0.07227412972980846,0.7544565217391305,149.76399999999998,1.0,2528.4,2661.0
amazon,hgb_attributes,0.5,0.05,random,5,0.07380817815011924,0.7678494623655914,154.26,1.0,2522.2,2654.4
amazon,hgb_attributes,0.5,0.05,random,6,0.08090849197735728,0.7581702127659574,155.164,1.0,2501.0,2632.4
amazon,hgb_attributes,0.5,0.05,random,7,0.10409344728621919,0.7982887700534759,166.672,1.0,2486.0,2616.4
amazon,hgb_attributes,0.5,0.05,random,8,0.09965622555753204,0.7792,160.272,1.0,2506.0,2637.6
amazon,hgb_attributes,0.5,0.05,random,9,0.07555069996234128,0.7931612903225806,160.04000000000002,1.0,2516.8,2648.8
