phase,dataset,model,label_fraction,design,scenario,method,fdp_mean,fdp_std,power_mean,power_std,discoveries_mean,discoveries_std,true_discoveries_mean,true_discoveries_std,nonempty_mean,nonempty_std,reference_labels_mean,reference_labels_std,training_labels_mean,training_labels_std,n_reference_mean,n_reference_std
allocation,tfinance,hgb_attributes,1.0,exposure_80,uniform,equal_alpha,0.03687154705785619,0.007716957906167366,0.6287426521543215,0.014937908683295129,264.74,7.904457251731104,254.9,6.5198841162162395,1.0,0.0,26565.8,0.4216370213563034,3936.0,0.0,25349.6,5.641118880348489
allocation,tfinance,hgb_attributes,1.0,exposure_80,uniform,filtered_low,0.13765770154765022,0.011408673341185935,0.6754852826342365,0.00574990442925764,317.9,6.409194783884942,273.84000000000003,2.474402284727903,1.0,0.0,26565.8,0.4216370213563034,3936.0,0.0,25349.6,5.641118880348489
allocation,tfinance,hgb_attributes,1.0,exposure_80,uniform,pooled_reference,0.094606813081792,0.012568023537998593,0.6521402797346368,0.009513592450539487,292.26,7.938121804166128,264.38,4.226319649266685,1.0,0.0,26565.8,0.4216370213563034,3936.0,0.0,25349.6,5.641118880348489
allocation,tfinance,hgb_attributes,1.0,exposure_80,uniform,pooled_stratum,0.10012678510170692,0.009643894532553944,0.6032559489426429,0.027493683138001893,272.04,13.88133839208438,244.56,11.216178790776596,1.0,0.0,26565.8,0.4216370213563034,3936.0,0.0,25349.6,5.641118880348489
allocation,tfinance,hgb_attributes,1.0,exposure_80,uniform,size_alpha,0.01542305963144609,0.004254492890677158,0.5771919430685197,0.03254538355854929,237.71999999999997,13.874100571448464,234.0,13.3739381717661,1.0,0.0,26565.8,0.4216370213563034,3936.0,0.0,25349.6,5.641118880348489
allocation,tfinance,hgb_attributes,1.0,zero_exposure,uniform,equal_alpha,0.045126844057435216,0.009048024237062028,0.6288544502937894,0.01616538317074188,267.1,8.723531395025773,254.94,6.766617405403615,1.0,0.0,26565.8,0.4216370213563034,3936.0,0.0,25349.6,5.641118880348489
allocation,tfinance,hgb_attributes,1.0,zero_exposure,uniform,filtered_low,0.07127470498630603,0.014365776702943223,0.6326889050007198,0.013441156124322888,276.41999999999996,9.663424743732316,256.5,5.971971570967547,1.0,0.0,26565.8,0.4216370213563034,3936.0,0.0,25349.6,5.641118880348489
allocation,tfinance,hgb_attributes,1.0,zero_exposure,uniform,pooled_reference,0.094606813081792,0.012568023537998593,0.6521402797346368,0.009513592450539487,292.26,7.938121804166128,264.38,4.226319649266685,1.0,0.0,26565.8,0.4216370213563034,3936.0,0.0,25349.6,5.641118880348489
allocation,tfinance,hgb_attributes,1.0,zero_exposure,uniform,pooled_stratum,0.09283101028504222,0.012576068371701677,0.6579744363770221,0.010860411105422057,294.28000000000003,7.967824183691694,266.74,4.394997155858001,1.0,0.0,26565.8,0.4216370213563034,3936.0,0.0,25349.6,5.641118880348489
allocation,tfinance,hgb_attributes,1.0,zero_exposure,uniform,size_alpha,0.0627848935452032,0.010202918863009896,0.6467704278680941,0.010591843892017052,279.94,6.60373631615721,262.2,4.425180473406951,1.0,0.0,26565.8,0.4216370213563034,3936.0,0.0,25349.6,5.641118880348489
allocation,tfinance,hgb_graph_features,0.25,exposure_80,uniform,equal_alpha,0.03831048651078803,0.005245326520118566,0.7307809501940055,0.011115504742440786,308.24,5.693505071570576,296.26,4.829584753256629,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322
allocation,tfinance,hgb_graph_features,0.25,exposure_80,uniform,filtered_low,0.18182861731081373,0.027230855973868366,0.8273964409242783,0.015816788566471174,411.36,20.669634195548273,335.41999999999996,6.23499086696291,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322
allocation,tfinance,hgb_graph_features,0.25,exposure_80,uniform,pooled_reference,0.0922075381315802,0.010128654327582849,0.7869877097392484,0.009086593060764746,351.82,5.548533339741435,319.04,3.537481841335408,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322
allocation,tfinance,hgb_graph_features,0.25,exposure_80,uniform,pooled_stratum,0.0903513857192526,0.006041075990558103,0.6902324795803946,0.02111913384324703,308.04,10.435750518716368,279.82,8.673048932052549,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322
allocation,tfinance,hgb_graph_features,0.25,exposure_80,uniform,size_alpha,0.012380269062325273,0.004167747773026641,0.6480459608617568,0.027692205184490323,266.21999999999997,12.31672755961492,262.71999999999997,11.369041785089495,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322
allocation,tfinance,hgb_graph_features,0.25,zero_exposure,uniform,equal_alpha,0.04341100487727962,0.006251266849226523,0.7435141492196362,0.009536440948904329,315.28000000000003,4.989945446150246,301.41999999999996,4.084061159624747,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322
allocation,tfinance,hgb_graph_features,0.25,zero_exposure,uniform,filtered_low,0.12265323689024576,0.027439094004928225,0.8026501927594267,0.02203045465334373,372.3,21.247378923319257,325.38,8.48970618520518,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322
allocation,tfinance,hgb_graph_features,0.25,zero_exposure,uniform,pooled_reference,0.0922075381315802,0.010128654327582849,0.7869877097392484,0.009086593060764746,351.82,5.548533339741435,319.04,3.537481841335408,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322
allocation,tfinance,hgb_graph_features,0.25,zero_exposure,uniform,pooled_stratum,0.0915565025968488,0.0068509324761887895,0.7751957600172685,0.011218154131668703,346.34000000000003,6.704592124473759,314.26,4.464228190105575,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322
allocation,tfinance,hgb_graph_features,0.25,zero_exposure,uniform,size_alpha,0.04841378010753053,0.005932756535244499,0.7515620680121096,0.010193375040469941,320.36,5.3081070072107615,304.68,4.127092062080609,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322
allocation,tfinance,hgb_graph_features,0.5,exposure_80,uniform,equal_alpha,0.03787645631767048,0.003779192225977884,0.7369500045310742,0.01080318402544266,310.62,5.212335795441852,298.76,4.651212506194245,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463
allocation,tfinance,hgb_graph_features,0.5,exposure_80,uniform,filtered_low,0.19162695720052905,0.025840910612536665,0.8302149512168002,0.01487942561399908,417.28000000000003,19.242360677537576,336.56,5.679436591775633,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463
