phase,dataset,model,label_fraction,design,scenario,method,seed,fdp,power,discoveries,true_discoveries,nonempty,reference_labels,training_labels,n_reference
acquisition,amazon,hgb_attributes,0.0,exposure_80,severe,pooled_reference,0,0.10938109769847117,0.7794594594594595,162.46,144.2,1.0,2358.52,864.0,2216.0
acquisition,amazon,hgb_attributes,0.0,exposure_80,severe,pooled_reference,1,0.11240799984433647,0.7938797814207651,163.96,145.28,1.0,2355.56,864.0,2218.3
acquisition,amazon,hgb_attributes,0.0,exposure_80,severe,pooled_reference,2,0.11705520707292058,0.7711475409836065,159.92,141.12,1.0,2368.02,864.0,2226.64
acquisition,amazon,hgb_attributes,0.0,exposure_80,severe,pooled_reference,3,0.10174695895706236,0.8418279569892474,174.62,156.58,1.0,2358.4,864.0,2212.58
acquisition,amazon,hgb_attributes,0.0,exposure_80,severe,pooled_reference,4,0.0868017035217522,0.7716304347826087,155.6,141.98,1.0,2353.9,864.0,2221.76
acquisition,amazon,hgb_attributes,0.0,exposure_80,severe,pooled_reference,5,0.09674666907284904,0.7886021505376344,162.58,146.68,1.0,2364.16,864.0,2227.2
acquisition,amazon,hgb_attributes,0.0,exposure_80,severe,pooled_reference,6,0.09857597744068203,0.7686170212765957,160.4,144.5,1.0,2363.98,864.0,2213.36
acquisition,amazon,hgb_attributes,0.0,exposure_80,severe,pooled_reference,7,0.1217743218100488,0.8118716577540107,173.14,151.82,1.0,2353.92,864.0,2199.24
acquisition,amazon,hgb_attributes,0.0,exposure_80,severe,pooled_reference,8,0.10798773581527443,0.7809729729729731,162.04,144.48,1.0,2359.2,864.0,2223.18
acquisition,amazon,hgb_attributes,0.0,exposure_80,severe,pooled_reference,9,0.09961146125176881,0.8046236559139786,166.5,149.66,1.0,2362.24,864.0,2218.38
acquisition,amazon,hgb_attributes,0.0,exposure_80,severe,pooled_stratum,0,0.08009464372139054,0.31232432432432433,63.42,57.78,1.0,2358.52,864.0,2216.0
acquisition,amazon,hgb_attributes,0.0,exposure_80,severe,pooled_stratum,1,0.0573113886592028,0.2733333333333334,53.46,50.02,1.0,2355.56,864.0,2218.3
acquisition,amazon,hgb_attributes,0.0,exposure_80,severe,pooled_stratum,2,0.08726824246180052,0.2595628415300546,52.22,47.5,1.0,2368.02,864.0,2226.64
