sigma,cross_multiplier,theta,neighbor_noise_fraction,all_null,method,independent_repetitions,fdp_mean,fdp_mcse,power_mean,power_mcse,discoveries_mean,discoveries_mcse,null_tail001_mean,null_tail001_mcse,n_calib_mean,n_calib_mcse,edges_mean,edges_mcse,clipped_probability_fraction_mean,clipped_probability_fraction_mcse
0.0,4.0,2.0,0.5,0,matched_random,500,0.0012307692307692308,0.0012307692307692306,0.002,0.002,0.156,0.15600000000000003,0.0,0.0,34.458,0.2506274131063895,7201.184,3.7667244010448724,0.0,0.0
0.0,4.0,2.0,0.5,0,mixture_half,500,0.007921632566069906,0.0032258511673230565,0.012,0.004874373707264981,1.076,0.43993583062776354,0.0,0.0,34.458,0.2506274131063895,7201.184,3.7667244010448724,0.0,0.0
0.0,4.0,2.0,0.5,0,partial_filtered,500,0.09724559834239213,0.0045240859693879846,0.9013333333333333,0.013302435810251466,30.812,0.5050221844767091,0.010785185185185186,0.0006039387338767229,112.262,0.6926834288947085,7201.184,3.7667244010448724,0.0,0.0
0.0,4.0,2.0,0.5,0,partial_random,500,0.06740059523579014,0.003313469945743807,0.8894000000000001,0.013999783374600411,29.08,0.4747694303807355,0.007481481481481482,0.0004523530018094711,112.262,0.6926834288947085,7201.184,3.7667244010448724,0.0,0.0
1.2,1.0,0.0,0.0,0,oracle_filtered,500,0.0814744487809499,0.003468610999780445,0.9113333333333334,0.0053512557912843385,30.146,0.24757211455211914,0.010940740740740742,0.00047512443482694306,200.0,0.0,7084.314,4.808403508088021,0.0002164525993883792,4.8419337437318e-06
1.2,1.0,0.0,0.0,0,matched_random,500,0.07655897313131593,0.0032320343551613838,0.9088666666666668,0.0054768686270252245,29.868,0.24386079671885086,0.010103703703703705,0.00042884420050210586,200.0,0.0,7084.314,4.808403508088021,0.0002164525993883792,4.8419337437318e-06
1.2,1.0,0.0,0.0,0,mixture_half,500,0.0798166812286103,0.003256810079835303,0.9162666666666668,0.004482047119526098,30.206,0.2214163010184964,0.01048148148148148,0.00042352548546328487,200.0,0.0,7084.314,4.808403508088021,0.0002164525993883792,4.8419337437318e-06
1.2,1.0,0.0,0.0,0,partial_filtered,500,0.07134128085935271,0.0035479815104633976,0.8988666666666668,0.00552979098046992,29.436,0.25771426286211857,0.0065259259259259255,0.000340975428973949,168.106,0.6694040121353664,7084.314,4.808403508088021,0.0002164525993883792,4.8419337437318e-06
1.2,1.0,0.0,0.0,0,partial_random,500,0.06717946596506211,0.003470666635874746,0.8902666666666668,0.006585128620536513,29.018,0.27686216302454414,0.006318518518518518,0.0003515426768837298,168.106,0.6694040121353664,7084.314,4.808403508088021,0.0002164525993883792,4.8419337437318e-06
1.2,1.0,0.0,0.5,0,oracle_filtered,500,0.0756876986323453,0.003214033408413856,0.9138000000000001,0.004770998074095589,29.974,0.2225977257183684,0.009859259259259259,0.0004333633067755818,200.0,0.0,7084.314,4.808403508088021,0.0002164525993883792,4.8419337437318e-06
1.2,1.0,0.0,0.5,0,matched_random,500,0.07501282327373485,0.0032162979657603358,0.9102,0.004720739311610551,29.846,0.2256244241245239,0.009696296296296297,0.00041681862193648404,200.0,0.0,7084.314,4.808403508088021,0.0002164525993883792,4.8419337437318e-06
1.2,1.0,0.0,0.5,0,mixture_half,500,0.07561588984618145,0.003115078158839062,0.9187333333333335,0.004436181474965188,30.108,0.2111156356673908,0.009777777777777778,0.0004220071825863717,200.0,0.0,7084.314,4.808403508088021,0.0002164525993883792,4.8419337437318e-06
1.2,1.0,0.0,0.5,0,partial_filtered,500,0.06302156546327507,0.003341869781087063,0.8913333333333335,0.006629220149175854,28.89,0.27081817695631116,0.005977777777777778,0.00033804629796868667,168.106,0.6694040121353664,7084.314,4.808403508088021,0.0002164525993883792,4.8419337437318e-06
1.2,1.0,0.0,0.5,0,partial_random,500,0.060063091165436545,0.0031646187370026027,0.8851333333333334,0.007231743650909159,28.574,0.2800677129690165,0.005748148148148148,0.0003272323230706965,168.106,0.6694040121353664,7084.314,4.808403508088021,0.0002164525993883792,4.8419337437318e-06
1.2,1.0,2.0,0.0,0,oracle_filtered,500,0.5918238633004088,0.005484252723060418,0.7038666666666666,0.007167329822823408,56.876,0.9119564557336652,0.09756296296296298,0.0016672400277203516,200.0,0.0,7084.314,4.808403508088021,0.0002164525993883792,4.8419337437318e-06
1.2,1.0,2.0,0.0,0,matched_random,500,0.015818886565790592,0.003024425828118087,0.023666666666666666,0.004299492754099229,0.984,0.1787046689861092,0.009696296296296297,0.0003854310401857056,200.0,0.0,7084.314,4.808403508088021,0.0002164525993883792,4.8419337437318e-06
1.2,1.0,2.0,0.0,0,mixture_half,500,0.055899479044876556,0.006095048921578124,0.0684,0.007240699929629861,3.256,0.35212058419186915,0.016585185185185182,0.0006200478561594345,200.0,0.0,7084.314,4.808403508088021,0.0002164525993883792,4.8419337437318e-06
1.2,1.0,2.0,0.0,0,partial_filtered,500,0.140696064129392,0.009333668615802204,0.16393333333333335,0.010641343939847857,8.808,0.5925237892960614,0.019325925925925927,0.0007701159021110919,168.106,0.6694040121353664,7084.314,4.808403508088021,0.0002164525993883792,4.8419337437318e-06
