seed,trim,method,repetitions,n_calib,pool_size,fdp_mean,fdp_mcse,power_mean,power_mcse,discoveries_mean,discoveries_mcse,tail001_mean,tail001_mcse,tail005_mean,tail005_mcse,tail001_exact,tail001_error,tail001_zerror,tail005_exact,tail005_error,tail005_zerror
1,0.05,clean,200,1585,4070,0.09378674529748102,0.003170152860245907,0.2295533141210374,0.0004341299533036674,88.2,0.4547349993105764,0.011059999999999999,0.00010451851799090474,0.04189499999999999,0.0002823223415222625,0.011226263312359212,-0.00016626331235921298,-1.5907545911977177,0.04221151473775296,-0.0003165147377529737,-1.1211111952612327
1,0.05,random,200,1585,5655,0.09187959823299371,0.0029670850197186004,0.2286023054755043,0.0003411908997162836,87.59,0.3871159954972788,0.01004,0.00011831947213978426,0.042402499999999996,0.00028959548767619296,0.009943066878506365,9.693312149363503e-05,0.819249103639652,0.04201162751031876,0.0003908724896812335,1.3497188537629494
1,0.05,exposed_only,200,1585,1585,0.08139534883720932,9.837702944053505e-19,0.2276657060518731,5.902621766432102e-18,86.0,0.0,0.008000000000000002,1.2297128680066881e-19,0.0435,0.0,0.008,1.734723475976807e-18,1.734723475976807e-06,0.0435,0.0,0.0
1,0.05,random_full,200,4000,5655,0.1056632344858221,0.0010761928526515732,0.22785302593659934,0.00010824882849301928,88.435,0.1273182022458516,0.010579999999999999,8.255042619103558e-05,0.0430575,0.0001227397407926594,0.010557196632025072,2.280336797492663e-05,0.27623561775630084,0.043029107533318484,2.839246668151496e-05,0.23132252437682355
2,0.0,clean,200,1795,4263,0.023785653389201907,0.008282090620233768,0.0018443804034582135,0.0007179339629864312,1.52,0.5659500839185707,0.0213875,9.901763078376569e-05,0.0692025,0.0003252385575953958,0.02126236039700582,0.0001251396029941787,1.2638113233334987,0.06843578314953498,0.0007667168504650185,2.357398385153435
2,0.0,random,200,1795,6058,0.0,0.0,0.0,0.0,0.0,0.0,0.008600000000000002,0.00010345780583377796,0.045235,0.00039974725054915395,0.00857560320699797,2.439679300203154e-05,0.23581394178443157,0.0449370542196521,0.00029794578034789826,0.7453354086578315
2,0.0,exposed_only,200,1795,1795,0.0,0.0,0.0,0.0,0.0,0.0,0.003500000000000001,6.148564340033441e-20,0.016500000000000004,2.4594257360133763e-19,0.0035,8.673617379884035e-19,8.673617379884035e-07,0.0165,3.469446951953614e-18,3.469446951953614e-06
2,0.0,random_full,200,4000,6058,0.0,0.0,0.0,0.0,0.0,0.0,0.0089325,5.75545950123461e-05,0.04466749999999999,0.0001591938508887954,0.00893121223782031,1.2877621796900107e-06,0.022374619774733387,0.044834697578884385,-0.00016719757888439268,-1.0502766152769825
2,0.01,clean,200,1770,4207,0.24736935730555032,0.010910009209487785,0.0504178674351585,0.002367896861973098,26.955,1.3902622127140272,0.018409999999999996,0.0001410548914857627,0.05886750000000001,0.0002481458250757255,0.018665272211169707,-0.000255272211169711,-1.8097366810953648,0.05875793145388277,0.0001095685461172391,0.44154902095895665
2,0.01,random,200,1770,5977,0.03713620010436649,0.005715909552083741,0.009438040345821326,0.0012860344381988734,4.035,0.560884867125914,0.011555,0.00013439750162190907,0.047155,0.00030841200499351606,0.01169720895040183,-0.00014220895040183146,-1.0581219790967378,0.046953486208627195,0.00020151379137280795,0.6533915285724513
